g1	g2	classe	cfopi	descri_simplif	dfi	aaaamm	valconGia	valconEfd	valconDif	icmsGia	icmsEfd	icmsDif	icmsstGia	icmsstEfd	icmsstDif
1-Receitas	01n - Produção Não ST	E201	1201	Devolução de Venda Produção	D	202001	-237688,0	-237688,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	1201	Devolução de Venda Produção	D	202004	-34986,0	-34986,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	1201	Devolução de Venda Produção	D	202005	-15256,54	-15256,54	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	1201	Devolução de Venda Produção	D	202006	-76008,67	-76008,67	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	1201	Devolução de Venda Produção	D	202007	-33699,43	-33699,43	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	1201	Devolução de Venda Produção	D	202008	-33256,67	-33256,67	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	1201	Devolução de Venda Produção	D	202010	-55261,94	-55261,94	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	1201	Devolução de Venda Produção	D	202011	-14802,9	-14802,9	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	1201	Devolução de Venda Produção	D	202012	-3777,84	-3777,84	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	2201	Devolução de Venda Produção	F	202001	-31593,12	-31593,12	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	2201	Devolução de Venda Produção	F	202003	-68138,46	-68138,46	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	2201	Devolução de Venda Produção	F	202004	-16356,25	-16356,25	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	2201	Devolução de Venda Produção	F	202005	-30761,52	-30761,52	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	2201	Devolução de Venda Produção	F	202006	-69097,47	-69097,47	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	2201	Devolução de Venda Produção	F	202007	-99340,74	-99340,74	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	2201	Devolução de Venda Produção	F	202009	-8432,1	-8432,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	2201	Devolução de Venda Produção	F	202011	-6998,0	-6998,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	E201	2201	Devolução de Venda Produção	F	202012	-31448,52	-31448,52	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	S101	5101	Venda Produção	D	202001	3404524,28	3404524,28	0,0	15539,28	15539,28	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	S101	5101	Venda Produção	D	202002	5782058,3	5782058,3	0,0	7885,95	7885,95	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	S101	5101	Venda Produção	D	202003	3927562,46	3927562,46	0,0	12435,63	12435,63	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	S101	5101	Venda Produção	D	202004	734202,65	734202,65	0,0	1426,18	1426,18	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	S101	5101	Venda Produção	D	202005	541998,2	541998,2	0,0	4062,72	4062,72	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	S101	5101	Venda Produção	D	202006	1610728,11	1610728,11	0,0	4566,65	4566,65	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	S101	5101	Venda Produção	D	202007	2676702,02	2676702,02	0,0	10872,74	10872,74	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	S101	5101	Venda Produção	D	202008	4209041,28	4209041,28	0,0	7389,22	7389,22	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	S101	5101	Venda Produção	D	202009	4493773,51	4493773,51	0,0	9088,02	9088,02	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	S101	5101	Venda Produção	D	202010	6386099,1	6386099,1	0,0	16871,19	16871,19	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	S101	5101	Venda Produção	D	202011	6111550,36	6111550,36	0,0	12275,18	12275,18	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	S101	5101	Venda Produção	D	202012	4755910,33	4755910,33	0,0	10489,05	10489,05	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	S101	6101	Venda Produção	F	202001	3050742,94	3050742,94	0,0	0,0	0,0	0,0	0,0	0,0	0,0
1-Receitas	01n - Produção Não ST	S101	6101	Venda Produção	F	202002	3994414,38	3994414,38	0,0	1152,9	1152,9	0,0	0,0	0,0	0,0
